"","Division","Colour","Alpha","Favourite","Prob"
"1","Canberra","#FF0000AD",0.677233551248411,"ALP",0.838616775624206
"2","Fraser","#FF0000BB",0.731547139794543,"ALP",0.865773569897271
"3","Banks","#0000FF03",0.0110630236465534,"Coalition",0.505531511823277
"4","Barton","#FF00005D",0.365711649512416,"ALP",0.682855824756208
"5","Bennelong","#0000FF75",0.459099806751059,"Coalition",0.729549903375529
"6","Berowra","#0000FFB7",0.716155751950597,"Coalition",0.858077875975298
"7","Blaxland","#FF0000AD",0.680092066259808,"ALP",0.840046033129904
"8","Bradfield","#0000FFB6",0.714746822675005,"Coalition",0.857373411337502
"9","Calare","#0000FFBD",0.74154033870919,"Coalition",0.870770169354595
"10","Charlton","#FF0000A2",0.637249273053915,"ALP",0.818624636526957
"11","Chifley","#FF00009F",0.621628123778306,"ALP",0.810814061889153
"12","Cook","#0000FFBA",0.729884870030332,"Coalition",0.864942435015166
"13","Cowper","#0000FFBB",0.734246072598228,"Coalition",0.867123036299114
"14","Cunningham","#FF0000AD",0.67986561075114,"ALP",0.83993280537557
"15","Dobell","#0000FF20",0.125845958287891,"Coalition",0.562922979143945
"16","Eden-Monaro","#FF00002E",0.179381444483527,"ALP",0.589690722241764
"17","Farrer","#0000FFB3",0.700311723816033,"Coalition",0.850155861908016
"18","Fowler","#FF00008F",0.55998640534723,"ALP",0.779993202673615
"19","Gilmore","#0000FF8C",0.550151975683891,"Coalition",0.775075987841945
"20","Grayndler","#FF0000A3",0.638082955333442,"ALP",0.819041477666721
"21","Greenway","#0000FF2E",0.179719436379286,"Coalition",0.589859718189643
"22","Hughes","#0000FFA9",0.662083715245952,"Coalition",0.831041857622976
"23","Hume","#0000FFB9",0.726218178688091,"Coalition",0.863109089344046
"24","Hunter","#FF0000A9",0.661036543442093,"ALP",0.830518271721047
"25","Kingsford Smith","#FF000058",0.346646577803109,"ALP",0.673323288901554
"26","Lindsay","#0000FF42",0.260054636515405,"Coalition",0.630027318257702
"27","Lyne","#0000FFB5",0.710175466783665,"Coalition",0.855087733391833
"28","Macarthur","#0000FF96",0.588785046728972,"Coalition",0.794392523364486
"29","Mackellar","#0000FFB6",0.714746822675005,"Coalition",0.857373411337502
"30","Macquarie","#0000FF78",0.469791921111889,"Coalition",0.734895960555944
"31","McMahon","#FF0000A0",0.626845161835574,"ALP",0.813422580917787
"32","Mitchell","#0000FFBE",0.743669991386849,"Coalition",0.871834995693424
"33","New England","#0000FFC2",0.762736524999547,"Coalition",0.881368262499773
"34","Newcastle","#FF00008C",0.548974943052392,"ALP",0.774487471526196
"35","North Sydney","#0000FFB6",0.714746822675005,"Coalition",0.857373411337502
"36","Page","#FF00003D",0.239405377775589,"ALP",0.619702688887794
"37","Parkes","#0000FFB0",0.689344292267126,"Coalition",0.844672146133563
"38","Parramatta","#FF00002E",0.180262831638978,"ALP",0.590131415819489
"39","Paterson","#0000FFB5",0.709004141282831,"Coalition",0.854502070641415
"40","Reid","#0000FF21",0.130563563857913,"Coalition",0.565281781928956
"41","Richmond","#FF000043",0.262931798924074,"ALP",0.631465899462037
"42","Riverina","#0000FFA5",0.64731367517602,"Coalition",0.82365683758801
"43","Robertson","#0000FF04",0.0175277843461812,"Coalition",0.508763892173091
"44","Shortland","#FF0000AC",0.67440803278102,"ALP",0.83720401639051
"45","Sydney","#FF0000B0",0.689061101927539,"ALP",0.844530550963769
"46","Throsby","#FF000094",0.580939112932259,"ALP",0.790469556466129
"47","Warringah","#0000FFB9",0.726472579553148,"Coalition",0.863236289776574
"48","Watson","#FF0000A4",0.641338084739464,"ALP",0.820669042369732
"49","Wentworth","#0000FFB9",0.726472579553148,"Coalition",0.863236289776574
"50","Werriwa","#FF00006E",0.433048112116557,"ALP",0.716524056058279
"51","Lingiari","#FF00000C",0.0467262954951086,"ALP",0.523363147747554
"52","Solomon","#0000FF30",0.189584408011304,"Coalition",0.594792204005652
"53","Blair","#FF000076",0.462402523982889,"ALP",0.731201261991444
"54","Bonner","#0000FF3D",0.238699230873027,"Coalition",0.619349615436513
"55","Bowman","#0000FF93",0.576319543509273,"Coalition",0.788159771754636
"56","Brisbane","#FF00000F",0.0590033704475661,"ALP",0.529501685223783
"57","Capricornia","#FF000065",0.39662668537707,"ALP",0.698313342688535
"58","Dawson","#0000FF20",0.125845958287891,"Coalition",0.562922979143945
"59","Dickson","#0000FF78",0.469791921111889,"Coalition",0.734895960555944
"60","Fadden","#0000FFA1",0.631395294404748,"Coalition",0.815697647202374
"61","Fairfax","#0000FF96",0.588270267229799,"Coalition",0.794135133614899
"62","Fisher","#0000FF6F",0.435905463762585,"Coalition",0.717952731881292
"63","Flynn","#0000FF1F",0.121883692063267,"Coalition",0.560941846031633
"64","Forde","#FF000070",0.439064235763751,"ALP",0.719532117881875
"65","Griffith","#FF0000B3",0.700787401574803,"ALP",0.850393700787402
"66","Groom","#0000FFCA",0.790661385446738,"Coalition",0.895330692723369
"67","Herbert","#0000FF16",0.0856327534077133,"Coalition",0.542816376703857
"68","Hinkler","#0000FFAB",0.672093665926629,"Coalition",0.836046832963314
"69","Kennedy","#9E9E9E",0.617866107778254,"Bob Katter (KAP)",0.808933053889127
"70","Leichhardt","#0000FF7A",0.477725930394359,"Coalition",0.73886296519718
"71","Lilley","#FF000089",0.537422529810516,"ALP",0.768711264905258
"72","Longman","#0000FF00",0,"Coalition",0.497822951720349
"73","Maranoa","#0000FFBF",0.750246805532371,"Coalition",0.875123402766186
"74","McPherson","#0000FFB0",0.688565074427299,"Coalition",0.844282537213649
"75","Moncrieff","#0000FFBB",0.732481293352996,"Coalition",0.866240646676498
"76","Moreton","#FF000020",0.125845958287891,"ALP",0.562922979143945
"77","Oxley","#FF00009F",0.623449388903228,"ALP",0.811724694451614
"78","Petrie","#FF00004A",0.291958311073282,"ALP",0.645979155536641
"79","Rankin","#FF000090",0.564481103063073,"ALP",0.782240551531537
"80","Ryan","#0000FF9B",0.609715422053454,"Coalition",0.804857711026727
"81","Wide Bay","#0000FFB8",0.723014732290075,"Coalition",0.861507366145037
"82","Wright","#0000FFA2",0.634915732643192,"Coalition",0.817457866321596
"83","Adelaide","#FF00006B",0.417867031025011,"ALP",0.708933515512506
"84","Barker","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"85","Boothby","#0000FF7D",0.490351604770092,"Coalition",0.745175802385046
"86","Grey","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"87","Hindmarsh","#FF000042",0.257197197912039,"ALP",0.628598598956019
"88","Kingston","#FF0000B0",0.688541828360159,"ALP",0.844270914180079
"89","Makin","#FF0000AE",0.681060429326461,"ALP",0.840530214663231
"90","Mayo","#0000FFBE",0.743504590740379,"Coalition",0.87175229537019
"91","Port Adelaide","#FF0000C1",0.755472754568453,"ALP",0.877736377284227
"92","Sturt","#0000FFB4",0.70654573661913,"Coalition",0.853272868309565
"93","Wakefield","#FF00009C",0.613473344547145,"ALP",0.806736672273573
"94","Bass","#0000FF76",0.461285478939082,"Coalition",0.730642739469541
"95","Braddon","#0000FF3F",0.247263807911546,"Coalition",0.623631903955773
"96","Denison","#616161",0.379664544860669,"Andrew Wilkie (IND)",0.689832272430334
"97","Franklin","#FF000035",0.207894736842105,"ALP",0.603947368421053
"98","Lyons","#FF000032",0.19765302626092,"ALP",0.59882651313046
"99","Aston","#0000FF66",0.40155052855171,"Coalition",0.700775264275855
"100","Ballarat","#FF0000A6",0.649265453201515,"ALP",0.824632726600758
"101","Batman","#FF0000AD",0.679109084474003,"ALP",0.839554542237001
"102","Bendigo","#FF000091",0.567220005346204,"ALP",0.783610002673102
"103","Bruce","#FF00006F",0.435531016563819,"ALP",0.71776550828191
"104","Calwell","#FF0000BA",0.729884870030332,"ALP",0.864942435015166
"105","Casey","#0000FF7D",0.490351604770092,"Coalition",0.745175802385046
"106","Chisholm","#FF00005D",0.364548494983278,"ALP",0.682274247491639
"107","Corangamite","#0000FF7D",0.490351604770092,"Coalition",0.745175802385046
"108","Corio","#FF0000BA",0.729912895358994,"ALP",0.864956447679497
"109","Deakin","#0000FF73",0.449157702455856,"Coalition",0.724578851227928
"110","Dunkley","#0000FF86",0.526032315978456,"Coalition",0.763016157989228
"111","Flinders","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"112","Gellibrand","#FF0000BC",0.735843648675277,"ALP",0.867921824337639
"113","Gippsland","#0000FFBA",0.729884870030332,"Coalition",0.864942435015166
"114","Goldstein","#0000FFB7",0.716155751950597,"Coalition",0.858077875975298
"115","Gorton","#FF0000BA",0.729884870030332,"ALP",0.864942435015166
"116","Higgins","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"117","Holt","#FF0000B8",0.720251551112942,"ALP",0.860125775556471
"118","Hotham","#FF0000BA",0.729912895358994,"ALP",0.864956447679497
"119","Indi","#0000FF92",0.574154159247011,"Coalition",0.787077079623505
"120","Isaacs","#FF0000A2",0.637249273053915,"ALP",0.818624636526957
"121","Jagajaga","#FF00009F",0.624462494027711,"ALP",0.812231247013856
"122","Kooyong","#0000FFB7",0.716155751950597,"Coalition",0.858077875975298
"123","La Trobe","#0000FF3C",0.236216935477036,"Coalition",0.618108467738518
"124","Lalor","#FF0000BA",0.729912895358994,"ALP",0.864956447679497
"125","Mallee","#0000FFC8",0.785769508940819,"Coalition",0.892884754470409
"126","Maribyrnong","#FF0000B4",0.706674315627185,"ALP",0.853337157813592
"127","McEwen","#FF00004F",0.308133321300153,"ALP",0.654066660650077
"128","McMillan","#0000FF96",0.588785046728972,"Coalition",0.794392523364486
"129","Melbourne","#FF000022",0.132990433970873,"ALP",0.566495216985437
"130","Melbourne Ports","#FF000082",0.511558980438648,"ALP",0.755779490219324
"131","Menzies","#0000FFC4",0.767764104921081,"Coalition",0.883882052460541
"132","Murray","#0000FFC2",0.762736524999547,"Coalition",0.881368262499773
"133","Scullin","#FF0000B7",0.716155751950597,"ALP",0.858077875975298
"134","Wannon","#0000FFD0",0.816507470978171,"Coalition",0.908253735489086
"135","Wills","#FF0000CC",0.800492694722263,"ALP",0.900246347361132
"136","Brand","#FF000026",0.147778160523596,"ALP",0.573889080261798
"137","Canning","#0000FF7E",0.495454989737074,"Coalition",0.747727494868537
"138","Cowan","#0000FFA6",0.649265453201515,"Coalition",0.824632726600758
