"","Division","Colour","Alpha","Favourite","Prob"
"1","CANBERRA","#FF00009A",0.605432387462338,"ALP",0.802716193731169
"2","FRASER","#FF0000BB",0.731547139794543,"ALP",0.865773569897271
"3","BANKS","#0000FF50",0.315499344746532,"Coalition",0.657749672373266
"4","BARTON","#FF00000C",0.0454918112999929,"ALP",0.522745905649996
"5","BENNELONG","#0000FFAC",0.675427069645204,"Coalition",0.837713534822602
"6","BEROWRA","#0000FFB7",0.716155751950597,"Coalition",0.858077875975298
"7","BLAXLAND","#FF000098",0.594909352863489,"ALP",0.797454676431744
"8","BRADFIELD","#0000FFB6",0.714746822675005,"Coalition",0.857373411337502
"9","CALARE","#0000FFBA",0.730013756772145,"Coalition",0.865006878386073
"10","CHARLTON","#FF00008E",0.555881490173071,"ALP",0.777940745086536
"11","CHIFLEY","#FF00006F",0.434063502599845,"ALP",0.717031751299923
"12","COOK","#0000FFBA",0.729884870030332,"Coalition",0.864942435015166
"13","COWPER","#0000FFB8",0.722815527435768,"Coalition",0.861407763717884
"14","CUNNINGHAM","#FF0000A9",0.661289321834088,"ALP",0.830644660917044
"15","DOBELL","#0000FF53",0.326937149361737,"Coalition",0.663468574680868
"16","EDEN-MONARO","#0000FF11",0.0651728617292313,"Coalition",0.532586430864616
"17","FARRER","#0000FFB3",0.700311723816033,"Coalition",0.850155861908016
"18","FOWLER","#FF000072",0.446808510638298,"ALP",0.723404255319149
"19","GILMORE","#0000FFAC",0.675427069645204,"Coalition",0.837713534822602
"20","GRAYNDLER","#FF00009F",0.623538838392281,"ALP",0.81176941919614
"21","GREENWAY","#0000FF9B",0.609208834872035,"Coalition",0.804604417436017
"22","HUGHES","#0000FFAF",0.687577554115538,"Coalition",0.843788777057769
"23","HUME","#0000FFB9",0.726218178688091,"Coalition",0.863109089344046
"24","HUNTER","#FF0000A9",0.661036543442093,"ALP",0.830518271721047
"25","KINGSFORD-SMITH","#FF000002",0.00946914193983939,"ALP",0.50473457096992
"26","LINDSAY","#0000FF96",0.589057422865619,"Coalition",0.794528711432809
"27","LYNE","#0000FFB5",0.710175466783665,"Coalition",0.855087733391833
"28","MACARTHUR","#0000FFAC",0.675427069645204,"Coalition",0.837713534822602
"29","MACKELLAR","#0000FFB6",0.714746822675005,"Coalition",0.857373411337502
"30","MACQUARIE","#0000FFA3",0.638930333983703,"Coalition",0.819465166991851
"31","MCMAHON","#FF00006D",0.426139722142996,"ALP",0.713069861071498
"32","MITCHELL","#0000FFB8",0.72245718803491,"Coalition",0.861228594017455
"33","NEW ENGLAND","#0000FFC2",0.762736524999547,"Coalition",0.881368262499773
"34","NEWCASTLE","#FF00005A",0.351632749645054,"ALP",0.675816374822527
"35","NORTH SYDNEY","#0000FFB6",0.714746822675005,"Coalition",0.857373411337502
"36","PAGE","#FF000000",0,"ALP",0.4704232688913
"37","PARKES","#0000FFB0",0.691920786626918,"Coalition",0.845960393313459
"38","PARRAMATTA","#FF000000",0,"ALP",0.49767195472161
"39","PATERSON","#0000FFB5",0.709004141282831,"Coalition",0.854502070641415
"40","REID","#0000FF2E",0.181591762719265,"Coalition",0.590795881359632
"41","RICHMOND","#FF000019",0.0993320598396925,"ALP",0.549666029919846
"42","RIVERINA","#0000FFA5",0.64731367517602,"Coalition",0.82365683758801
"43","ROBERTSON","#0000FF8C",0.549624970783843,"Coalition",0.774812485391921
"44","SHORTLAND","#FF00009A",0.602910866792788,"ALP",0.801455433396394
"45","SYDNEY","#FF0000AE",0.683877112878353,"ALP",0.841938556439176
"46","THROSBY","#FF000091",0.568178678984762,"ALP",0.784089339492381
"47","WARRINGAH","#0000FFB9",0.726472579553148,"Coalition",0.863236289776574
"48","WATSON","#FF00008E",0.555881490173071,"ALP",0.777940745086536
"49","WENTWORTH","#0000FFB9",0.726472579553148,"Coalition",0.863236289776574
"50","WERRIWA","#FF00003F",0.246808830154678,"ALP",0.623404415077339
"51","LINGIARI","#0000FF03",0.0116914399858998,"Coalition",0.50584571999295
"52","SOLOMON","#0000FF93",0.576319543509273,"Coalition",0.788159771754636
"53","BLAIR","#FF00005A",0.351810879486232,"ALP",0.675905439743116
"54","BONNER","#0000FF78",0.472205421454885,"Coalition",0.736102710727443
"55","BOWMAN","#0000FFA4",0.642925199821087,"Coalition",0.821462599910544
"56","BRISBANE","#0000FF41",0.25314898619666,"Coalition",0.62657449309833
"57","CAPRICORNIA","#0000FF2D",0.176770694543848,"Coalition",0.588385347271924
"58","DAWSON","#0000FF75",0.457076522418916,"Coalition",0.728538261209458
"59","DICKSON","#0000FFA1",0.632656204443111,"Coalition",0.816328102221556
"60","FADDEN","#0000FFAF",0.688091423958968,"Coalition",0.844045711979484
"61","FAIRFAX","#0000FF93",0.576753335439748,"Coalition",0.788376667719874
"62","FISHER","#0000FFA2",0.63491721932556,"Coalition",0.81745860966278
"63","FLYNN","#0000FF62",0.384191125708424,"Coalition",0.692095562854212
"64","FORDE","#0000FF81",0.505141053562629,"Coalition",0.752570526781314
"65","GRIFFITH","#FF0000AF",0.686331078039773,"ALP",0.843165539019886
"66","GROOM","#0000FFCA",0.790661385446738,"Coalition",0.895330692723369
"67","HERBERT","#0000FF47",0.277304972728707,"Coalition",0.638652486364354
"68","HINKLER","#0000FFB1",0.694264275951317,"Coalition",0.847132137975658
"69","KENNEDY","#A7A7A7",0.656322382569547,"Other",0.828161191284773
"70","LEICHHARDT","#0000FF8C",0.54954004888094,"Coalition",0.77477002444047
"71","LILLEY","#FF000047",0.278265206987677,"ALP",0.639132603493838
"72","LONGMAN","#0000FF53",0.326937149361737,"Coalition",0.663468574680868
"73","MARANOA","#0000FFBF",0.750246805532371,"Coalition",0.875123402766186
"74","MCPHERSON","#0000FFB0",0.688565074427299,"Coalition",0.844282537213649
"75","MONCRIEFF","#0000FFC2",0.762705910260125,"Coalition",0.881352955130062
"76","MORETON","#0000FF00",0,"Coalition",0.477086163973982
"77","OXLEY","#FF000099",0.601779325016923,"ALP",0.800889662508461
"78","PETRIE","#FF000021",0.130800482177601,"ALP",0.5654002410888
"79","RANKIN","#FF00007A",0.478163094111978,"ALP",0.739081547055989
"80","RYAN","#0000FFA9",0.661682505027902,"Coalition",0.830841252513951
"81","WIDE BAY","#0000FFB8",0.723014732290075,"Coalition",0.861507366145037
"82","WRIGHT","#0000FFA2",0.634915732643192,"Coalition",0.817457866321596
"83","ADELAIDE","#FF00003D",0.237370681831932,"ALP",0.618685340915966
"84","BARKER","#0000FFB7",0.718539212117839,"Coalition",0.859269606058919
"85","BOOTHBY","#0000FF86",0.526032315978456,"Coalition",0.763016157989228
"86","GREY","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"87","HINDMARSH","#FF000004",0.0176033891577319,"ALP",0.508801694578866
"88","KINGSTON","#0000FF8D",0.551042211803844,"Coalition",0.775521105901922
"89","MAKIN","#FF00009C",0.612698243364058,"ALP",0.806349121682029
"90","MAYO","#0000FFBE",0.743504590740379,"Coalition",0.87175229537019
"91","PORT ADELAIDE","#FF0000C1",0.755472754568453,"ALP",0.877736377284227
"92","STURT","#0000FFB4",0.70654573661913,"Coalition",0.853272868309565
"93","WAKEFIELD","#FF00008D",0.55103668815692,"ALP",0.77551834407846
"94","BASS","#0000FF54",0.327566168960519,"Coalition",0.66378308448026
"95","BRADDON","#0000FF2A",0.165458845381753,"Coalition",0.582729422690876
"96","DENISON","#4C4C4C",0.299270121612631,"Other",0.649635060806315
"97","FRANKLIN","#FF000029",0.161334395992258,"ALP",0.580667197996129
"98","LYONS","#FF00004E",0.30529324480488,"ALP",0.65264662240244
"99","ASTON","#0000FF90",0.56390318694557,"Coalition",0.781951593472785
"100","BALLARAT","#FF000097",0.590421148043501,"ALP",0.795210574021751
"101","BATMAN","#FF0000A6",0.652892561983471,"ALP",0.826446280991735
"102","BENDIGO","#FF000081",0.505706178865247,"ALP",0.752853089432624
"103","BRUCE","#FF000046",0.273575883730808,"ALP",0.636787941865404
"104","CALWELL","#FF0000BA",0.729884870030332,"ALP",0.864942435015166
"105","CASEY","#0000FF97",0.590421148043501,"Coalition",0.795210574021751
"106","CHISHOLM","#FF00006C",0.424296828246559,"ALP",0.712148414123279
"107","CORANGAMITE","#0000FF90",0.56390318694557,"Coalition",0.781951593472785
"108","CORIO","#FF0000A9",0.663705442315131,"ALP",0.831852721157566
"109","DEAKIN","#0000FF90",0.56390318694557,"Coalition",0.781951593472785
"110","DUNKLEY","#0000FF89",0.539058458354889,"Coalition",0.769529229177444
"111","FLINDERS","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"112","GELLIBRAND","#FF0000BC",0.735843648675277,"ALP",0.867921824337639
"113","GIPPSLAND","#0000FFB5",0.709004141282831,"Coalition",0.854502070641415
"114","GOLDSTEIN","#0000FFB7",0.716155751950597,"Coalition",0.858077875975298
"115","GORTON","#FF0000BA",0.729884870030332,"ALP",0.864942435015166
"116","HIGGINS","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"117","HOLT","#FF0000B1",0.693149257619172,"ALP",0.846574628809586
"118","HOTHAM","#FF0000AE",0.68374216828103,"ALP",0.841871084140515
"119","INDI","#0000FFA6",0.649061443395127,"Coalition",0.824530721697563
"120","ISAACS","#FF000093",0.576319543509273,"ALP",0.788159771754636
"121","JAGAJAGA","#FF000094",0.57905352327976,"ALP",0.78952676163988
"122","KOOYONG","#0000FFB7",0.716155751950597,"Coalition",0.858077875975298
"123","LA TROBE","#0000FF5D",0.364548494983278,"Coalition",0.682274247491639
"124","LALOR","#FF0000B3",0.702600921508594,"ALP",0.851300460754297
"125","MALLEE","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"126","MARIBYRNONG","#FF0000A9",0.661289321834088,"ALP",0.830644660917044
"127","MCEWEN","#FF00006F",0.435531016563819,"ALP",0.71776550828191
"128","MCMILAN","#0000FF78",0.472205421454885,"Coalition",0.736102710727443
"129","MELBOURNE","#FF000025",0.145078400103741,"ALP",0.57253920005187
"130","MELBOURNE PORTS","#FF00005F",0.371274927179028,"ALP",0.685637463589514
"131","MENZIES","#0000FFBD",0.739655030575589,"Coalition",0.869827515287794
"132","MURRAY","#0000FFD2",0.822045123578034,"Coalition",0.911022561789017
"133","SCULLIN","#FF0000B7",0.716155751950597,"ALP",0.858077875975298
"134","WANNON","#0000FFD0",0.816507470978171,"Coalition",0.908253735489086
"135","WILLS","#FF0000CC",0.800492694722263,"ALP",0.900246347361132
"136","BRAND","#FF000000",0,"ALP",0.493349455864571
"137","CANNING","#0000FF96",0.588785046728972,"Coalition",0.794392523364486
"138","COWAN","#0000FFAD",0.67986561075114,"Coalition",0.83993280537557
