"","Division","Colour","Alpha","Favourite","Prob"
"1","Canberra","#FF0000B4",0.706129880929339,"ALP",0.853064940464669
"2","Fraser","#FF0000C2",0.761753660450358,"ALP",0.880876830225179
"3","Banks","#0000FF19",0.0979658590924328,"Coalition",0.548982929546216
"4","Barton","#FF000046",0.274177615390106,"ALP",0.637088807695053
"5","Bennelong","#0000FFA5",0.647891985872613,"Coalition",0.823945992936307
"6","Berowra","#0000FFB7",0.716155751950597,"Coalition",0.858077875975298
"7","Blaxland","#FF0000B2",0.698588824833027,"ALP",0.849294412416514
"8","Bradfield","#0000FFBE",0.744365016930602,"Coalition",0.872182508465301
"9","Calare","#0000FFBD",0.74154033870919,"Coalition",0.870770169354595
"10","Charlton","#FF0000AA",0.665316579695948,"ALP",0.832658289847974
"11","Chifley","#FF000098",0.597760772430795,"ALP",0.798880386215397
"12","Cook","#0000FFBA",0.729884870030332,"Coalition",0.864942435015166
"13","Cowper","#0000FFC5",0.772099601150466,"Coalition",0.886049800575233
"14","Cunningham","#FF0000B5",0.708567244325116,"ALP",0.854283622162558
"15","Dobell","#0000FF4D",0.303236367509628,"Coalition",0.651618183754814
"16","Eden-Monaro","#FF000002",0.00888359739902911,"ALP",0.504441798699515
"17","Farrer","#0000FFCA",0.790761776014326,"Coalition",0.895380888007163
"18","Fowler","#FF000096",0.58717351713963,"ALP",0.793586758569815
"19","Gilmore","#0000FF8E",0.557963248046456,"Coalition",0.778981624023228
"20","Grayndler","#FF0000BE",0.744365016930602,"ALP",0.872182508465301
"21","Greenway","#0000FF49",0.287145539985894,"Coalition",0.643572769992947
"22","Hughes","#0000FFB0",0.691016474976686,"Coalition",0.845508237488343
"23","Hume","#0000FFB9",0.726218178688091,"Coalition",0.863109089344046
"24","Hunter","#FF0000AD",0.678939825045715,"ALP",0.839469912522858
"25","Kingsford Smith","#FF000025",0.143592333701447,"ALP",0.571796166850724
"26","Lindsay","#0000FF9A",0.602053325160895,"Coalition",0.801026662580448
"27","Lyne","#0000FFB8",0.721019429914663,"Coalition",0.860509714957332
"28","Macarthur","#0000FF9D",0.61648177496038,"Coalition",0.80824088748019
"29","Mackellar","#0000FFBE",0.744365016930602,"Coalition",0.872182508465301
"30","Macquarie","#0000FF90",0.564491009486054,"Coalition",0.782245504743027
"31","McMahon","#FF000077",0.467154279329922,"ALP",0.733577139664961
"32","Mitchell","#0000FFC5",0.774304696019857,"Coalition",0.887152348009929
"33","New England","#0000FFC2",0.762736524999547,"Coalition",0.881368262499773
"34","Newcastle","#FF000081",0.50546459890276,"ALP",0.75273229945138
"35","North Sydney","#0000FFBE",0.744365016930602,"Coalition",0.872182508465301
"36","Page","#FF00002D",0.176921300384464,"ALP",0.588460650192232
"37","Parkes","#0000FFBF",0.750198886237072,"Coalition",0.875099443118536
"38","Parramatta","#FF00001C",0.110340625697732,"ALP",0.555170312848866
"39","Paterson","#0000FFBC",0.738422583522886,"Coalition",0.869211291761443
"40","Reid","#0000FF62",0.383760174707167,"Coalition",0.691880087353584
"41","Richmond","#FF000056",0.33920161793603,"ALP",0.669600808968015
"42","Riverina","#0000FFC7",0.782324089503709,"Coalition",0.891162044751855
